shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
VNYoS,33.945257,-118.401559,1,
VNYoS,33.945040,-118.404084,2,
VNYoS,33.944775,-118.406889,3,
VNYoS,33.944744,-118.407706,4,
VNYoS,33.944697,-118.407958,5,
VNYoS,33.944562,-118.408121,6,
VNYoS,33.944223,-118.408172,7,
VNYoS,33.943789,-118.408027,8,
VNYoS,33.942921,-118.407973,9,
VNYoS,33.942691,-118.407895,10,
VNYoS,33.942548,-118.407691,11,
VNYoS,33.942562,-118.407414,12,
VNYoS,33.942702,-118.406398,13,
VNYoS,33.942892,-118.404025,14,
VNYoS,33.943197,-118.401469,15,
VNYoS,33.943470,-118.398679,16,
VNYoS,33.943916,-118.397527,17,
VNYoS,33.944270,-118.397094,18,
VNYoS,33.944443,-118.396531,19,
VNYoS,33.944543,-118.395750,20,
VNYoS,33.944437,-118.395312,21,
VNYoS,33.944164,-118.395202,22,
VNYoS,33.943945,-118.395348,23,
VNYoS,33.943830,-118.395666,24,
VNYoS,33.943913,-118.395890,25,
VNYoS,33.944113,-118.396025,26,
VNYoS,33.944936,-118.396075,27,
VNYoS,33.947011,-118.396096,28,
VNYoS,33.950182,-118.396086,29,
VNYoS,33.951194,-118.396086,30,
VNYoS,33.952223,-118.396088,31,
VNYoS,33.959687,-118.396114,32,
VNYoS,33.961711,-118.396102,33,
VNYoS,33.965450,-118.396053,34,
VNYoS,33.966424,-118.396005,35,
VNYoS,33.966900,-118.395957,36,
VNYoS,33.967855,-118.395815,37,
VNYoS,33.969387,-118.395442,38,
VNYoS,33.971609,-118.394857,39,
VNYoS,33.973910,-118.394203,40,
VNYoS,33.974544,-118.394001,41,
VNYoS,33.974712,-118.393834,42,
VNYoS,33.974822,-118.393564,43,
VNYoS,33.974844,-118.391886,44,
VNYoS,33.974845,-118.389654,45,
VNYoS,33.974880,-118.387427,46,
VNYoS,33.974965,-118.386088,47,
VNYoS,33.975130,-118.385440,48,
VNYoS,33.975175,-118.385461,49,
VNYoS,33.975394,-118.385278,50,
VNYoS,33.975674,-118.385203,51,
VNYoS,33.975966,-118.385280,52,
VNYoS,33.976181,-118.385481,53,
VNYoS,33.976287,-118.385690,54,
VNYoS,33.976926,-118.387249,55,
VNYoS,33.977227,-118.388017,56,
VNYoS,33.977828,-118.389465,57,
VNYoS,33.978208,-118.390479,58,
VNYoS,33.978811,-118.391571,59,
VNYoS,33.979308,-118.392230,60,
VNYoS,33.979953,-118.392863,61,
VNYoS,33.982073,-118.394551,62,
VNYoS,33.992313,-118.402556,63,
VNYoS,34.008733,-118.415549,64,
VNYoS,34.024430,-118.427924,65,
VNYoS,34.030852,-118.433127,66,
VNYoS,34.031749,-118.433881,67,
VNYoS,34.032332,-118.434524,68,
VNYoS,34.032829,-118.435218,69,
VNYoS,34.033492,-118.436157,70,
VNYoS,34.034838,-118.437462,71,
VNYoS,34.035771,-118.438043,72,
VNYoS,34.036797,-118.438526,73,
VNYoS,34.038325,-118.439289,74,
VNYoS,34.039322,-118.440000,75,
VNYoS,34.040423,-118.440964,76,
VNYoS,34.048399,-118.447810,77,
VNYoS,34.049017,-118.448233,78,
VNYoS,34.050077,-118.448797,79,
VNYoS,34.052295,-118.449563,80,
VNYoS,34.052936,-118.449840,81,
VNYoS,34.054031,-118.450599,82,
VNYoS,34.060044,-118.455408,83,
VNYoS,34.067196,-118.461612,84,
VNYoS,34.071404,-118.465430,85,
VNYoS,34.077199,-118.470013,86,
VNYoS,34.077653,-118.470387,87,
VNYoS,34.078714,-118.471324,88,
VNYoS,34.079751,-118.472342,89,
VNYoS,34.080073,-118.472629,90,
VNYoS,34.081211,-118.473469,91,
VNYoS,34.082364,-118.474083,92,
VNYoS,34.084041,-118.474631,93,
VNYoS,34.084921,-118.474767,94,
VNYoS,34.094267,-118.476076,95,
VNYoS,34.095104,-118.476257,96,
VNYoS,34.095646,-118.476477,97,
VNYoS,34.096205,-118.476847,98,
VNYoS,34.095623,-118.476469,99,
VNYoS,34.096348,-118.476874,100,
VNYoS,34.097491,-118.477535,101,
VNYoS,34.098107,-118.477808,102,
VNYoS,34.098871,-118.477991,103,
VNYoS,34.099590,-118.478032,104,
VNYoS,34.100367,-118.477934,105,
VNYoS,34.100988,-118.477755,106,
VNYoS,34.101691,-118.477540,107,
VNYoS,34.102515,-118.477342,108,
VNYoS,34.103220,-118.477299,109,
VNYoS,34.103730,-118.477360,110,
VNYoS,34.104388,-118.477520,111,
VNYoS,34.104948,-118.477748,112,
VNYoS,34.105512,-118.478063,113,
VNYoS,34.106044,-118.478448,114,
VNYoS,34.109217,-118.480771,115,
VNYoS,34.110407,-118.481555,116,
VNYoS,34.111388,-118.481982,117,
VNYoS,34.112458,-118.482131,118,
VNYoS,34.113111,-118.482092,119,
VNYoS,34.117278,-118.481798,120,
VNYoS,34.117844,-118.481736,121,
VNYoS,34.118402,-118.481596,122,
VNYoS,34.119035,-118.481334,123,
VNYoS,34.119631,-118.480977,124,
VNYoS,34.120111,-118.480575,125,
VNYoS,34.123016,-118.478204,126,
VNYoS,34.126766,-118.475144,127,
VNYoS,34.127362,-118.474729,128,
VNYoS,34.127956,-118.474399,129,
VNYoS,34.128566,-118.474128,130,
VNYoS,34.129014,-118.473966,131,
VNYoS,34.136333,-118.471596,132,
VNYoS,34.137315,-118.471313,133,
VNYoS,34.137988,-118.471202,134,
VNYoS,34.138670,-118.471146,135,
VNYoS,34.139188,-118.471143,136,
VNYoS,34.139846,-118.471186,137,
VNYoS,34.140710,-118.471301,138,
VNYoS,34.142022,-118.471411,139,
VNYoS,34.142909,-118.471383,140,
VNYoS,34.143847,-118.471266,141,
VNYoS,34.144874,-118.471021,142,
VNYoS,34.146108,-118.470541,143,
VNYoS,34.147165,-118.470002,144,
VNYoS,34.147993,-118.469602,145,
VNYoS,34.149137,-118.468982,146,
VNYoS,34.150410,-118.468404,147,
VNYoS,34.15106,-118.4681760,148,
VNYoS,34.151778,-118.468011,149,
VNYoS,34.152744,-118.467955,150,
VNYoS,34.153507,-118.467965,151,
VNYoS,34.154220,-118.468059,152,
VNYoS,34.156276,-118.468675,153,
VNYoS,34.157654,-118.469199,154,
VNYoS,34.158777,-118.469418,155,
VNYoS,34.159348,-118.469467,156,
VNYoS,34.160193,-118.469478,157,
VNYoS,34.161568,-118.469513,158,
VNYoS,34.165318,-118.469571,159,
VNYoS,34.166072,-118.469502,160,
VNYoS,34.166650,-118.469364,161,
VNYoS,34.167155,-118.469176,162,
VNYoS,34.167636,-118.468936,163,
VNYoS,34.168341,-118.468533,164,
VNYoS,34.169064,-118.468119,165,
VNYoS,34.169870,-118.467796,166,
VNYoS,34.175184,-118.467789,167,
VNYoS,34.176014,-118.467961,168,
VNYoS,34.176744,-118.468193,169,
VNYoS,34.177945,-118.468760,170,
VNYoS,34.179991,-118.470186,171,
VNYoS,34.183700,-118.472835,172,
VNYoS,34.184345,-118.473304,173,
VNYoS,34.185267,-118.473758,174,
VNYoS,34.186171,-118.474034,175,
VNYoS,34.187371,-118.474167,176,
VNYoS,34.196114,-118.474307,177,
VNYoS,34.196758,-118.474288,178,
VNYoS,34.197461,-118.474214,179,
VNYoS,34.200231,-118.473482,180,
VNYoS,34.201110,-118.473281,181,
VNYoS,34.202206,-118.473057,182,
VNYoS,34.202468,-118.472829,183,
VNYoS,34.202454,-118.472492,184,
VNYoS,34.202247,-118.472274,185,
VNYoS,34.201936,-118.472303,186,
VNYoS,34.201378,-118.472471,187,
VNYoS,34.201285,-118.472563,188,
VNYoS,34.201278,-118.474760,189,
VNYoS,34.201268,-118.479192,190,
VNYoS,34.201274,-118.483480,191,
VNYoS,34.201411,-118.483614,192,
VNYoS,34.208322,-118.483611,193,
VNYoS,34.208871,-118.483587,194,
VNYoS,34.208877,-118.483303,195,
VNYoS,34.208877,-118.483303,196,
VNYoS,34.208800,-118.483230,197,
VNYoS,34.208809,-118.483031,198,
VNYoS,34.208922,-118.483002,199,
VNYoS,34.209218,-118.483242,200,

VNYiS,34.209218,-118.483242,1,
VNYiS,34.208414,-118.482834,2,
VNYiS,34.208451,-118.474932,3,
VNYiS,34.202650,-118.474930,4,
VNYiS,34.202660,-118.474470,5,
VNYiS,34.202410,-118.473920,6,
VNYiS,34.201690,-118.473670,7,
VNYiS,34.200850,-118.473670,8,
VNYiS,34.197980,-118.474310,9,
VNYiS,34.197023,-118.474438,10,
VNYiS,34.196082,-118.474436,11,
VNYiS,34.194888,-118.474382,12,
VNYiS,34.191564,-118.47433,13,
VNYiS,34.191191,-118.474283,14,
VNYiS,34.187602,-118.474224,15,
VNYiS,34.186472,-118.474152,16,
VNYiS,34.185648,-118.473956,17,
VNYiS,34.184701,-118.473565,18,
VNYiS,34.183730,-118.472962,19,
VNYiS,34.182942,-118.472388,20,
VNYiS,34.178740,-118.469330,21,
VNYiS,34.177430,-118.468534,22,
VNYiS,34.176113,-118.468045,23,
VNYiS,34.174894,-118.467795,24,
VNYiS,34.173856,-118.467731,25,
VNYiS,34.171323,-118.467673,26,
VNYiS,34.170482,-118.467718,27,
VNYiS,34.169730,-118.467894,28,
VNYiS,34.169150,-118.468128,29,
VNYiS,34.168561,-118.468464,30,
VNYiS,34.167685,-118.468998,31,
VNYiS,34.166986,-118.469331,32,
VNYiS,34.166340,-118.469531,33,
VNYiS,34.165741,-118.469630,34,
VNYiS,34.165202,-118.469654,35,
VNYiS,34.164532,-118.469632,36,
VNYiS,34.162058,-118.469574,37,
VNYiS,34.159449,-118.469514,38,
VNYiS,34.158817,-118.469473,39,
VNYiS,34.157814,-118.469287,40,
VNYiS,34.156792,-118.468949,41,
VNYiS,34.155160,-118.468360,42,
VNYiS,34.154108,-118.468124,43,
VNYiS,34.152862,-118.468040,44,
VNYiS,34.151826,-118.468134,45,
VNYiS,34.150842,-118.468351,46,
VNYiS,34.149764,-118.468764,47,
VNYiS,34.148745,-118.469286,48,
VNYiS,34.146281,-118.470534,49,
VNYiS,34.145550,-118.470857,50,
VNYiS,34.144340,-118.471220,51,
VNYiS,34.143440,-118.471386,52,
VNYiS,34.142173,-118.471464,53,
VNYiS,34.141057,-118.471391,54,
VNYiS,34.140047,-118.471257,55,
VNYiS,34.138829,-118.471183,56,
VNYiS,34.137242,-118.471379,57,
VNYiS,34.136186,-118.471701,58,
VNYiS,34.130567,-118.473509,59,
VNYiS,34.131098,-118.473315,60,
VNYiS,34.128985,-118.474024,61,
VNYiS,34.128040,-118.474426,62,
VNYiS,34.126664,-118.475283,63,
VNYiS,34.124561,-118.476996,64,
VNYiS,34.121226,-118.479673,65,
VNYiS,34.120315,-118.48047,66,
VNYiS,34.119677,-118.480998,67,
VNYiS,34.119044,-118.481396,68,
VNYiS,34.118388,-118.481669,69,
VNYiS,34.117682,-118.481828,70,
VNYiS,34.116659,-118.481909,71,
VNYiS,34.112696,-118.482178,72,
VNYiS,34.112037,-118.482159,73,
VNYiS,34.111263,-118.481994,74,
VNYiS,34.110706,-118.481761,75,
VNYiS,34.110127,-118.481432,76,
VNYiS,34.108552,-118.480339,77,
VNYiS,34.105678,-118.478213,78,
VNYiS,34.105035,-118.477829,79,
VNYiS,34.104435,-118.477574,80,
VNYiS,34.103547,-118.477379,81,
VNYiS,34.102879,-118.477362,82,
VNYiS,34.102018,-118.477489,83,
VNYiS,34.100963,-118.47781,84,
