trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
ESHTLiT,00:00:00,00:00:00,EBC,1,To Terminals,0,1,,0
ESHTLiT,,,LotCSHTL,2,E Shuttle To LAX Terminals,1,0,,0
ESHTLiT,,,T1LESHTL,3,E Shuttle To LAX Terminals,1,0,,0
ESHTLiT,,,T2LESHTL,4,E Shuttle To LAX Terminals,1,0,,0
ESHTLiT,,,T3LESHTL,5,E Shuttle To LAX Terminals,1,0,,0
ESHTLiT,,,TBLESHTL,6,E Shuttle To LAX Terminals,1,0,,0
ESHTLiT,,,T4LESHTL,7,E Shuttle To LAX Terminals,1,0,,0
ESHTLiT,,,T5LESHTL,8,E Shuttle To LAX Terminals,1,0,,0
ESHTLiT,00:10:00,00:10:00,T6LESHTL,9,E Shuttle To LAX Terminals,1,0,,0
ESHTLoT,00:00:00,00:00:00,T1LESHTL,1,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,,,T2LESHTL,2,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,,,T3LESHTL,3,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,,,TBLESHTL,4,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,,,T4LESHTL,5,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,,,T5LESHTL,6,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,,,T6LESHTL,7,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,,,T7LESHTL,8,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,,,LotCSHTL,9,E Shuttle To City Bus Center,0,1,,0
ESHTLoT,00:10:00,00:10:00,EBC,10,E Shuttle To City Bus Center,1,0,,0
GSHTLiT,00:00:00,00:00:00,AVGL,1,G Shuttle To LAX Terminals,0,1,,0
GSHTLiT,,,T1LGSHTL,2,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T2LGSHTL,3,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T3LGSHTL,4,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,TBLGSHTL,5,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T4LGSHTL,6,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T5LGSHTL,7,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T6LGSHTL,8,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,00:10:00,00:10:00,T7LGSHTL,9,G Shuttle To LAX Terminals,1,0,,0
GSHTLoT,00:00:00,00:00:00,T1LGSHTL,1,G Shuttle to Metro Green Line,0,1,,0
GSHTLoT,,,T2LGSHTL,2,G Shuttle to Metro Green Line,0,1,,0
GSHTLoT,,,T3LGSHTL,3,G Shuttle to Metro Green Line,0,1,,0
GSHTLoT,,,TBLGSHTL,4,G Shuttle to Metro Green Line,0,1,,0
GSHTLoT,,,T4LGSHTL,5,G Shuttle to Metro Green Line,0,1,,0
GSHTLoT,,,T5LGSHTL,6,G Shuttle to Metro Green Line,0,1,,0
GSHTLoT,,,T6LGSHTL,7,G Shuttle to Metro Green Line,0,1,,0
GSHTLoT,,,T7LGSHTL,8,G Shuttle to Metro Green Line,0,1,,0
GSHTLoT,00:10:00,00:10:00,AVGL,9,G Shuttle to Metro Green Line,1,0,,0

VNYiA0300,03:00:00,03:00:00,VNY,1,Van Nuys to LAX,0,1,,0
VNYiA0300,03:40:00,03:40:00,LAXT1U,10,Van Nuys to LAX,1,0,,0
VNYiA0300,03:43:00,03:43:00,LAXT2U,20,Van Nuys to LAX,1,0,,0
VNYiA0300,03:46:00,03:46:00,LAXT3U,30,Van Nuys to LAX,1,0,,0
VNYiA0300,03:50:00,03:50:00,LAXTBU,35,Van Nuys to LAX,1,0,,0
VNYiA0300,03:54:00,03:54:00,LAXT4U,40,Van Nuys to LAX,1,0,,0
